Pathway_categories,Number,Type
Fatty acid oxidation,8,biological_process
Adp biosynthetic process,4,biological_process
Protein k27-linked ubiquitination,3,biological_process
'de novo' pyrimidine nucleobase biosynthetic process,2,biological_process
Leydig cell differentiation,5,biological_process
Protein lipidation,3,biological_process
L-amino acid transmembrane transporter activity,5,molecular_function
Benzodiazepine receptor activity,2,molecular_function
Transferase activity,9,molecular_function
Meiotic attachment of telomere to nuclear envelope,3,biological_process
Chondroitin sulfate biosynthetic process,9,biological_process
Positive regulation of kinase activity,6,biological_process
Positive regulation of lamellipodium assembly,5,biological_process
Cellular response to interferon-beta,7,biological_process
Receptor localization to non-motile cilium,3,biological_process
Prefoldin complex,3,cellular_component
Intracellular cgmp-activated cation channel activity,4,molecular_function
T cell activation,20,biological_process
Ccr4-not core complex,3,cellular_component
Interleukin-23-mediated signaling pathway,2,molecular_function
Negative regulation of t cell differentiation,3,biological_process
Regulation of mitochondrion organization,5,biological_process
Wnt-activated receptor activity,5,molecular_function
Steroid binding,9,molecular_function
Positive regulation of follicle-stimulating hormone secretion,4,biological_process
Mhc class ii protein binding,3,molecular_function
Positive regulation of dna topoisomerase (atp-hydrolyzing) activity,2,molecular_function
Regulation of epithelial cell differentiation,4,biological_process
Mitochondrial sorting and assembly machinery complex,3,cellular_component
Error-free translesion synthesis,8,biological_process
Maintenance of dna methylation,3,biological_process
Cdc73/paf1 complex,6,cellular_component
Centriolar satellite,18,cellular_component
Succinyl-coa metabolic process,4,biological_process
Negative regulation of autophagosome assembly,3,biological_process
Preribosome,5,cellular_component
Bone marrow development,3,biological_process
Trna modification,10,biological_process
Trna modification,10,molecular_function
Torc2 complex,3,cellular_component
Inclusion body,6,cellular_component
Positive regulation of isotype switching,5,biological_process
Gamma-catenin binding,5,molecular_function
Positive regulation of mitochondrial membrane potential,3,biological_process
Positive regulation of p38mapk cascade,6,biological_process
Regulation of glucose metabolic process,9,biological_process
Negative regulation of leukocyte migration,2,biological_process
Epithelial to mesenchymal transition involved in endocardial cushion formation,3,biological_process
Glutathione biosynthetic process,3,molecular_function
Adenosine metabolic process,1,biological_process
Regulation of calcium ion transmembrane transport,3,biological_process
Inhibin binding,3,molecular_function
Negative regulation of interleukin-6 secretion,4,biological_process
Dna clamp loader activity,4,molecular_function
Toll-like receptor 3 signaling pathway,4,biological_process
Polysomal ribosome,9,cellular_component
Dna biosynthetic process,8,biological_process
Dna biosynthetic process,8,molecular_function
Vascular endothelial growth factor receptor 2 binding,6,molecular_function
7sk snrna binding,4,molecular_function
Apoptotic process involved in blood vessel morphogenesis,3,biological_process
Negative regulation of glucose import,3,biological_process
Positive regulation of protein metabolic process,5,biological_process
Histone-arginine n-methyltransferase activity,3,molecular_function
Histone arginine methylation,3,molecular_function
Ap-2 adaptor complex binding,4,molecular_function
Positive regulation of t cell migration,6,biological_process
Negative regulation of axon regeneration,3,biological_process
Melanosome assembly,1,biological_process
Positive regulation of interleukin-12 biosynthetic process,3,biological_process
Regulation of t cell proliferation,4,biological_process
Regulation of nucleocytoplasmic transport,3,biological_process
Positive regulation of lamellipodium morphogenesis,3,biological_process
Pi-body,3,cellular_component
Phospholipase inhibitor activity,6,molecular_function
Trna methyltransferase activity,6,molecular_function
Positive regulation of cilium assembly,6,biological_process
Lys48-specific deubiquitinase activity,3,molecular_function
Negative regulation of inflammatory response to antigenic stimulus,4,biological_process
Heart contraction,3,biological_process
Torc2 signaling,2,biological_process
Pebow complex,2,cellular_component
Cardiac muscle cell development,3,biological_process
Positive regulation of dna replication,8,biological_process
Neural precursor cell proliferation,3,biological_process
Integral component of mitochondrial outer membrane,9,cellular_component
Actin filament severing,2,biological_process
Chromatin assembly or disassembly,4,biological_process
Epithelial cell migration,1,biological_process
Kinocilium,3,cellular_component
5'-flap endonuclease activity,2,molecular_function
Protein import into mitochondrial inner membrane,3,biological_process
Bone remodeling,4,biological_process
Fatty acid binding,7,molecular_function
Necroptotic process,7,biological_process
Substrate-dependent cell migration,1,biological_process
Histone h3-k4 trimethylation,5,biological_process
Lamin binding,4,molecular_function
Pericardium development,4,biological_process
Ovarian follicle development,10,biological_process
Ovarian follicle development,10,molecular_function
Organ growth,4,biological_process
Negative regulation of cell size,4,biological_process
Neuron projection maintenance,2,biological_process
Maturation of ssu-rrna,3,biological_process
Response to muramyl dipeptide,3,biological_process
Regulation of viral process,1,biological_process
Nucleoside diphosphate phosphorylation,5,biological_process
Maternal behavior,5,biological_process
Receptor localization to synapse,4,biological_process
Aryl sulfotransferase activity,8,molecular_function
Positive regulation of mhc class i biosynthetic process,2,biological_process
Snorna localization,3,biological_process
Negative regulation of lipoprotein lipase activity,2,biological_process
Positive regulation of mitochondrial fission,5,biological_process
Regulation of cellular protein localization,5,biological_process
Nucleoside diphosphate kinase activity,10,molecular_function
Post-chaperonin tubulin folding pathway,2,biological_process
Proteoglycan biosynthetic process,5,biological_process
Transforming growth factor beta-activated receptor activity,4,molecular_function
Box c/d snornp complex,4,cellular_component
Morphogenesis of embryonic epithelium,4,biological_process
Immunological synapse formation,6,biological_process
Negative regulation of focal adhesion assembly,6,biological_process
Positive regulation of mast cell chemotaxis,1,biological_process
Positive regulation of nlrp3 inflammasome complex assembly,1,biological_process
Site of double-strand break,10,cellular_component
Ino80 complex,7,cellular_component
Negative regulation of epithelial cell differentiation,7,biological_process
Negative regulation of toll-like receptor 4 signaling pathway,4,biological_process
Regulation of jak-stat cascade,1,biological_process
Lymphangiogenesis,3,biological_process
Steroid hormone receptor activity,17,molecular_function
Pattern recognition receptor signaling pathway,1,biological_process
Ribonuclease mrp complex,2,cellular_component
Regulation of telomere maintenance,5,biological_process
Nadp binding,16,molecular_function
Cyclooxygenase pathway,3,biological_process
Lymph node development,2,biological_process
Cyclin-dependent protein kinase activating kinase holoenzyme complex,4,cellular_component
Regulation of camp-mediated signaling,3,molecular_function
Immunological synapse,7,cellular_component
Signaling pattern recognition receptor activity,6,molecular_function
